,episode_lengths
0,3
1,2
2,3
3,14
4,7
5,4
6,9
7,4
8,13
9,3
10,9
11,5
12,3
13,3
14,3
15,5
16,4
17,2
18,6
19,15
20,6
21,7
22,18
23,9
24,3
25,19
26,7
27,10
28,11
29,9
30,3
31,5
32,7
33,3
34,6
35,6
36,7
37,6
38,10
39,3
40,2
41,12
42,20
43,8
44,2
45,8
46,4
47,3
48,3
49,2
50,16
51,9
52,16
53,6
54,3
55,2
56,11
57,2
58,3
59,2
60,4
61,6
62,7
63,3
64,4
65,3
66,3
67,7
68,7
69,5
70,10
71,3
72,4
73,4
74,3
75,2
76,3
77,3
78,3
79,2
80,4
81,2
82,2
83,14
84,5
85,5
86,4
87,4
88,12
89,19
90,3
91,3
92,6
93,5
94,2
95,3
96,2
97,4
98,3
99,4
100,4
101,2
102,3
103,2
104,5
105,2
106,2
107,3
108,6
109,4
110,7
111,3
112,3
113,2
114,2
115,2
116,2
117,5
118,2
119,2
120,2
121,2
122,5
123,8
124,6
125,3
126,2
127,6
128,4
129,4
130,2
131,2
132,4
133,9
134,3
135,2
136,3
137,4
138,3
139,8
140,2
141,3
142,2
143,2
144,3
145,9
146,5
147,5
148,2
149,2
150,2
151,2
152,6
153,2
154,9
155,3
156,5
157,3
158,2
159,4
160,3
161,5
162,2
163,2
164,2
165,2
166,3
167,7
168,8
169,3
170,2
171,2
172,3
173,2
174,2
175,3
176,2
177,3
178,2
179,3
180,3
181,2
182,4
183,3
184,2
185,3
186,3
187,2
188,2
189,3
190,2
191,3
192,2
193,2
194,2
195,4
196,2
197,5
198,3
199,3
200,2
201,2
202,3
203,3
204,2
205,2
206,6
207,3
208,2
209,3
210,3
211,4
212,2
213,2
214,2
215,2
216,3
217,3
218,2
219,2
220,2
221,8
222,3
223,2
224,4
225,2
226,3
227,2
228,6
229,2
230,2
231,2
232,7
233,4
234,4
235,2
236,2
237,5
238,3
239,2
240,3
241,2
242,3
243,2
244,2
245,2
246,3
247,3
248,6
249,2
250,8
251,2
252,3
253,2
254,3
255,2
256,3
257,6
258,3
259,5
260,2
261,2
262,3
263,3
264,2
265,3
266,2
267,2
268,2
269,7
270,3
271,5
272,3
273,2
274,4
275,2
276,3
277,3
278,3
279,2
280,2
281,8
282,7
283,5
284,3
285,2
286,3
287,3
288,2
289,3
290,2
291,6
292,2
293,3
294,2
295,2
296,3
297,3
298,2
299,4
300,3
301,3
302,2
303,3
304,2
305,2
306,2
307,2
308,3
309,2
310,2
311,2
312,2
313,3
314,2
315,2
316,2
317,7
318,2
319,3
320,4
321,2
322,2
323,2
324,3
325,3
326,2
327,2
328,4
329,3
330,3
331,4
332,8
333,2
334,2
335,2
336,2
337,2
338,4
339,2
340,2
341,2
342,4
343,2
344,3
345,3
346,2
347,4
348,3
349,5
350,2
351,3
352,3
353,4
354,3
355,2
356,2
357,2
358,4
359,2
360,2
361,3
362,2
363,2
364,2
365,7
366,3
367,3
368,3
369,4
370,2
371,3
372,2
373,2
374,3
375,2
376,2
377,4
378,3
379,5
380,5
381,3
382,3
383,2
384,3
385,4
386,2
387,2
388,2
389,3
390,2
391,2
392,2
393,3
394,2
395,2
396,2
397,4
398,2
399,2
400,2
401,14
402,10
403,6
404,2
405,3
406,2
407,3
408,5
409,2
410,2
411,2
412,2
413,4
414,96
415,14
416,14
417,15
418,2
419,4
420,71
421,45
422,79
423,10
424,2
425,23
426,51
427,41
428,38
429,326
430,7
431,17
432,56
433,2
434,2
435,2
436,3
437,2
438,2
439,2
440,2
441,5
442,21
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,4
452,2
453,4
454,2
455,2
456,3
457,3
458,2
459,2
460,16
461,165
462,36
463,2
464,2
465,2
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,3
482,2
483,2
484,2
485,2
486,2
487,3
488,2
489,2
490,2
491,2
492,3
493,2
494,2
495,2
496,3
497,2
498,2
499,2
